Date,AAPL,AMZN,BA,BRK-B,GLD,JNJ,JPM,MSFT,PG,XOM
2020-02-05,77.48676300048828,101.99349975585938,327.6008605957031,228.64999389648438,146.61000061035156,129.37631225585938,116.82872772216797,170.42276000976562,109.0754623413086,47.16376876831055
2020-02-06,78.39310455322266,102.5114974975586,339.4106140136719,229.61000061035156,147.39999389648438,128.98983764648438,116.84571838378906,173.95620727539062,109.35929870605469,46.52469253540039
2020-02-07,77.32754516601562,103.96399688720703,334.75830078125,227.3800048828125,147.7899932861328,127.61197662353516,116.47209167480469,174.20248413085938,108.44755554199219,46.216434478759766
2020-02-10,77.6948013305664,106.69550323486328,342.6314697265625,227.11000061035156,148.1699981689453,127.58674621582031,116.95610046386719,178.7591094970703,108.52497100830078,45.72834396362305
2020-02-11,77.22608947753906,107.54000091552734,342.3829345703125,227.3300018310547,147.66000366210938,127.696044921875,117.1768798828125,174.7235565185547,106.79605102539062,46.16304016113281
2020-02-12,79.05998229980469,108.0,345.39501953125,227.44000244140625,147.5399932861328,126.93987274169922,117.1768798828125,174.97933959960938,106.18535614013672,46.72740173339844
2020-02-13,78.49697875976562,107.49349975585938,342.82000732421875,226.47000122070312,148.3800048828125,126.09968566894531,117.07501220703125,174.03201293945312,107.48418426513672,46.468101501464844
2020-02-14,78.5163345336914,106.74349975585938,340.489990234375,226.8000030517578,149.0,126.13330078125,116.71836853027344,175.5856170654297,108.49915313720703,46.254554748535156
2020-02-18,77.07865905761719,107.78350067138672,338.8800048828125,226.77000427246094,150.91000366210938,125.30155181884766,115.17298889160156,177.3665313720703,107.40676879882812,45.66732406616211
2020-02-19,78.1949691772461,108.51100158691406,338.29998779296875,229.24000549316406,151.7899932861328,125.13349914550781,116.74385070800781,177.8984832763672,107.89706420898438,46.01814270019531
2020-02-20,77.39278411865234,107.65499877929688,336.2799987792969,228.1699981689453,152.41000366210938,124.65460205078125,116.74385070800781,175.18177795410156,108.87763214111328,45.652076721191406
2020-02-21,75.6409912109375,104.79850006103516,330.3800048828125,229.3300018310547,154.6999969482422,125.96526336669922,115.31733703613281,169.64381408691406,108.9808349609375,45.09532928466797
2020-02-24,72.0479965209961,100.4645004272461,317.8999938964844,221.69000244140625,156.08999633789062,123.36952209472656,112.21808624267578,162.32952880859375,106.05634307861328,42.98281478881836
2020-02-25,69.60758209228516,98.63700103759766,304.1400146484375,218.0500030517578,153.3000030517578,122.30412292480469,107.20835876464844,159.65081787109375,104.44786071777344,41.33549499511719
2020-02-26,70.71183776855469,98.97949981689453,305.5899963378906,216.05999755859375,153.97000122070312,121.4839859008789,107.53102111816406,161.64561462402344,103.35547637939453,40.427940368652344
2020-02-27,66.08951568603516,94.21499633789062,287.760009765625,207.6699981689453,154.0,117.62845611572266,103.05622100830078,150.2562255859375,97.62687683105469,37.995086669921875
2020-02-28,66.05085754394531,94.1875,275.1099853515625,206.33999633789062,148.3800048828125,113.70525360107422,98.58988952636719,153.8943328857422,97.39464569091797,39.2305793762207
2020-03-02,72.20024871826172,97.69750213623047,289.2699890136719,217.6300048828125,149.1999969482422,118.389404296875,103.1835708618164,164.1343231201172,102.83937072753906,41.09143829345703
2020-03-03,69.9072036743164,95.44950103759766,280.6199951171875,208.80999755859375,153.88999938964844,114.64376068115234,99.31165313720703,156.2691192626953,101.64378356933594,39.12381362915039
2020-03-04,73.14981079101562,98.79149627685547,283.1199951171875,217.86000061035156,154.16000366210938,121.31488800048828,101.76556396484375,162.00656127929688,107.0885238647461,39.977970123291016
2020-03-05,70.77706909179688,96.20149993896484,260.3699951171875,208.9600067138672,157.49000549316406,120.07198333740234,96.7728271484375,157.9409637451172,104.619873046875,38.21626281738281
2020-03-06,69.8371353149414,95.05449676513672,262.3299865722656,205.97999572753906,157.5500030517578,120.08890533447266,91.77156829833984,153.4764404296875,104.64570617675781,36.37065887451172
2020-03-09,64.31356048583984,90.03050231933594,227.1699981689453,193.1300048828125,157.80999755859375,115.36247253417969,79.34062957763672,143.0749053955078,99.82886505126953,31.92442512512207
2020-03-10,68.94554138183594,94.59100341796875,231.00999450683594,202.72999572753906,154.47999572753906,119.75914001464844,85.50514221191406,152.8589630126953,103.69093322753906,33.10652160644531
2020-03-11,66.551025390625,91.04299926757812,189.0800018310547,194.63999938964844,153.92999267578125,111.43927001953125,81.48039245605469,145.93418884277344,95.98400115966797,32.015926361083984
2020-03-12,59.97880554199219,83.83049774169922,154.83999633789062,175.97000122070312,147.7899932861328,106.03640747070312,74.76394653320312,132.09400939941406,87.59754180908203,28.355226516723633
2020-03-13,67.16475677490234,89.25,170.1999969482422,196.39999389648438,143.27999877929688,113.54460906982422,88.23078155517578,150.8736572265625,98.11715698242188,29.07211685180664
2020-03-16,58.52421569824219,84.4574966430664,129.61000061035156,177.77000427246094,141.63999938964844,107.49070739746094,75.02714538574219,128.6363983154297,93.32614135742188,26.303709030151367
2020-03-17,61.0975341796875,90.39199829101562,124.13999938964844,187.60000610351562,143.55999755859375,115.4892807006836,79.61235046386719,139.22776794433594,101.70397186279297,28.073047637939453
2020-03-18,59.60186767578125,91.5,101.88999938964844,172.44000244140625,140.6999969482422,114.11107635498047,71.23165893554688,133.36692810058594,101.02447509765625,25.258882522583008
2020-03-19,59.145179748535156,94.04650115966797,97.70999908447266,174.67999267578125,138.0399932861328,107.42305755615234,72.42890167236328,135.56121826171875,95.3302993774414,26.257949829101562
2020-03-20,55.39032745361328,92.30449676513672,95.01000213623047,170.05999755859375,140.11000061035156,101.36912536621094,70.9004898071289,130.4696807861328,88.10502624511719,24.969072341918945
